a	(-AH0_)
abdollah	(-AE2_B)(D-AA1_)(L-AH0_)
abdomen	(-AE0_B)(D-OW1_)(M-AH0_N)
abdominal	(-AE0_B)(D-AA1_)(M-AH0_)(N-AH0_L)
abduct	(-AE0_B)(D-AH1_K T)
abducted	(-AE0_B)(D-AH1_K)(T-IH0_D)
abductee	(-AE0_B)(D-AH2_K)(T-IY1_)
abductees	(-AE0_B)(D-AH2_K)(T-IY1_Z)
abducting	(-AE0_B)(D-AH1_K)(T-IH0_NG)
abduction	(-AE0_B)(D-AH1_K)(SH-AH0_N)
abductions	(-AE0_B)(D-AH1_K)(SH-AH0_N Z)
abductor	(-AE0_B)(D-AH1_K)(T-ER0_)
abductors	(-AE0_B)(D-AH1_K)(T-ER0_Z)
abducts	(-AE0_B)(D-AH1_K T S)
abdul	(-AE0_B)(D-UW1_L)
abdulaziz	(-AE0_B)(D-UW2_)(L-AH0_)(Z-IY1_Z)
abdulla	(-AA0_B)(D-UW1_)(L-AH0_)
abdullah	(-AE2_B)(D-AH1_)(L-AH0_)
abe	(-EY1_B)
abed	(-AH0_)(B-EH1_D)
abedi	(-AH0_)(B-EH1_)(D-IY0_)
abee	(-AH0_)(B-IY1_)
abel	(-EY1_)(B-AH0_L)
abela	(-AA0_)(B-EH1_)(L-AH0_)
abelard	(-AE1_)(B-IH0_)(L-ER0_D)
abele	(-AH0_)(B-IY1_L)
abeles	(-AH0_)(B-IY1_L Z)
abell	(-EY1_)(B-AH0_L)
abella	(-AH0_)(B-EH1_)(L-AH0_)
abeln	(-AE1_)(B-IH0_L N)
abelow	(-AE1_)(B-AH0_)(L-OW0_)
abels	(-EY1_)(B-AH0_L Z)
abelson	(-AE1_)(B-IH0_L)(S-AH0_N)
abend	(-AE1_)(B-EH0_N D)
abendroth	(-AE1_)(B-IH0_N)(D R-AO0_TH)
aber	(-EY1_)(B-ER0_)
abercrombie	(-AE2_)(B-ER0_)(K R-AA1_M)(B-IY0_)
aberdeen	(-AE1_)(B-ER0_)(D-IY2_N)
aberford	(-EY1_)(B-ER0_)(F-ER0_D)
aberg	(-AE1_)(B-ER0_G)
aberle	(-AE1_)(B-ER0_)(-AH0_L)
abermin	(-AE1_)(B-ER0_)(M-IH0_N)
abernathy	(-AE1_)(B-ER0_)(N-AE2_)(TH-IY0_)
abernethy	(-AE1_)(B-ER0_)(N-EH2_)(TH-IY0_)
aberrant	(-AE0_)(B-EH1_)(R-AH0_N T)
aberration	(-AE2_)(B-ER0_)(-EY1_)(SH-AH0_N)
aberrational	(-AE2_)(B-ER0_)(-EY1_)(SH-AH0_)(N-AH0_L)
aberrations	(-AE2_)(B-ER0_)(-EY1_)(SH-AH0_N Z)
abert	(-AE1_)(B-ER0_T)
abet	(-AH0_)(B-EH1_T)
abetted	(-AH0_)(B-EH1_)(T-IH0_D)
abetting	(-AH0_)(B-EH1_)(T-IH0_NG)
abex	(-EY1_)(B-EH0_K S)
abeyance	(-AH0_)(B-EY1_)(-AH0_N S)
abeyta	(-AA0_)(B-EY1_)(T-AH0_)
abhor	(-AE0_B)(HH-AO1_R)
abhorred	(-AH0_B)(HH-AO1_R D)
abhorrence	(-AH0_B)(HH-AO1_)(R-AH0_N S)
abhorrent	(-AE0_B)(HH-AO1_)(R-AH0_N T)
abhors	(-AH0_B)(HH-AO1_R Z)
abid	(-EY1_)(B-IH0_D)
abide	(-AH0_)(B-AY1_D)
abided	(-AH0_)(B-AY1_)(D-IH0_D)
abides	(-AH0_)(B-AY1_D Z)
abiding	(-AH0_)(B-AY1_)(D-IH0_NG)
abie	(-AE1_)(B-IY0_)
abigail	(-AE1_)(B-AH0_)(G-EY2_L)
abila	(-AA0_)(B-IY1_)(L-AH0_)
abilene	(-AE1_)(B-IH0_)(L-IY2_N)
abilities	(-AH0_)(B-IH1_)(L-AH0_)(T-IY0_Z)
ability	(-AH0_)(B-IH1_)(L-AH0_)(T-IY0_)
abington	(-AE1_)(B-IH0_NG)(T-AH0_N)
abio	(-AA1_)(B-IY0_)(-OW0_)
abiola	(-AA2_)(B-IY0_)(-OW1_)(L-AH0_)
abiomed	(-EY0_)(B-IY1_)(-AH0_)(M-EH0_D)
abitibi	(-AE2_)(B-IH0_)(T-IY1_)(B-IY0_)
abitz	(-AE1_)(B-IH0_T S)
abject	(-AE1_B)(JH-EH0_K T)
abkhazia	(-AE0_BK)(HH-AA1_Z)(Y-AH0_)
abkhazian	(-AE0_BK)(HH-AA1_)(Z-IY0_)(-AH0_N)
abkhazians	(-AE0_BK)(HH-AA1_)(Z-IY0_)(-AH0_N Z)
ablaze	(-AH0_)(B L-EY1_Z)
able	(-EY1_)(B-AH0_L)
abled	(-EY1_)(B-AH0_L D)
abler	(-EY1_)(B-AH0_)(L-ER0_)
ables	(-EY1_)(B-AH0_L Z)
ablest	(-EY1_)(B-AH0_L S T)
abloom	(-AH0_)(B L-UW1_M)
ably	(-EY1_)(B L-IY0_)
abner	(-AE1_B)(N-ER0_)
abney	(-AE1_B)(N-IY0_)
abnormal	(-AE0_B)(N-AO1_R)(M-AH0_L)
abnormalities	(-AE2_B)(N-AO0_R)(M-AE1_)(L-AH0_)(T-IY0_Z)
abnormality	(-AE2_B)(N-AO0_R)(M-AE1_)(L-AH0_)(T-IY0_)
abnormally	(-AE0_B)(N-AO1_R)(M-AH0_)(L-IY0_)
abo	(-AA1_)(B-OW0_)
aboard	(-AH0_)(B-AO1_R D)
abode	(-AH0_)(B-OW1_D)
abolish	(-AH0_)(B-AA1_)(L-IH0_SH)
abolished	(-AH0_)(B-AA1_)(L-IH0_SH T)
abolishes	(-AH0_)(B-AA1_)(L-IH0_)(SH-IH0_Z)
abolishing	(-AH0_)(B-AA1_)(L-IH0_)(SH-IH0_NG)
abolition	(-AE2_)(B-AH0_)(L-IH1_)(SH-AH0_N)
abolitionism	(-AE2_)(B-AH0_)(L-IH1_)(SH-AH0_)(N-IH2_)(Z-AH0_M)
abolitionist	(-AE2_)(B-AH0_)(L-IH1_)(SH-AH0_)(N-AH0_S T)
abolitionists	(-AE2_)(B-AH0_)(L-IH1_)(SH-AH0_)(N-AH0_S T S)
abominable	(-AH0_)(B-AA1_)(M-AH0_)(N-AH0_)(B-AH0_L)
abomination	(-AH0_)(B-AA2_)(M-AH0_)(N-EY1_)(SH-AH0_N)
abood	(-AH0_)(B-UW1_D)
aboodi	(-AH0_)(B-UW1_)(D-IY0_)
aboriginal	(-AE2_)(B-ER0_)(-IH1_)(JH-AH0_)(N-AH0_L)
aborigine	(-AE2_)(B-ER0_)(-IH1_)(JH-AH0_)(N-IY0_)
aborigines	(-AE2_)(B-ER0_)(-IH1_)(JH-AH0_)(N-IY0_Z)
aborn	(-AH0_)(B-AO1_R N)
abort	(-AH0_)(B-AO1_R T)
aborted	(-AH0_)(B-AO1_R)(T-IH0_D)
abortifacient	(-AH0_)(B-AO2_R)(T-AH0_)(F-EY1_)(SH-AH0_N T)
abortifacients	(-AH0_)(B-AO2_R)(T-AH0_)(F-EY1_)(SH-AH0_N T S)
aborting	(-AH0_)(B-AO1_R)(T-IH0_NG)
abortion	(-AH0_)(B-AO1_R)(SH-AH0_N)
abortionist	(-AH0_)(B-AO1_R)(SH-AH0_)(N-IH0_S T)
abortionists	(-AH0_)(B-AO1_R)(SH-AH0_)(N-IH0_S T S)
abortions	(-AH0_)(B-AO1_R)(SH-AH0_N Z)
abortive	(-AH0_)(B-AO1_R)(T-IH0_V)
abott	(-AH0_)(B-AA1_T)
abou	(-AH0_)(B-UW1_)
aboud	(-AA0_)(B-UW1_D)
abouhalima	(-AA2_)(B-UW0_)(HH-AA0_)(L-IY1_)(M-AH0_)
abound	(-AH0_)(B-AW1_N D)
abounded	(-AH0_)(B-AW1_N)(D-IH0_D)
abounding	(-AH0_)(B-AW1_N)(D-IH0_NG)
abounds	(-AH0_)(B-AW1_N D Z)
about	(-AH0_)(B-AW1_T)
above	(-AH0_)(B-AH1_V)
aboveboard	(-AH0_)(B-AH1_V)(B-AO2_R D)
abplanalp	(-AE1_B)(P L-AH0_)(N-AE0_L P)
abra	(-AA1_)(B R-AH0_)
abracadabra	(-AE2_)(B R-AH0_)(K-AH0_)(D-AE1_)(B R-AH0_)
abraham	(-EY1_)(B R-AH0_)(HH-AE2_M)
abrahamian	(-AE2_)(B R-AH0_)(HH-EY1_)(M-IY0_)(-AH0_N)
abrahams	(-EY1_)(B R-AH0_)(HH-AE2_M Z)
abrahamsen	(-AE0_)(B R-AH0_)(HH-AE1_M)(S-AH0_N)
abrahamson	(-AH0_)(B R-AE1_)(HH-AH0_M)(S-AH0_N)
abram	(-AH0_)(B R-AE1_M)
abramczyk	(-AA1_)(B R-AH0_M)(CH-IH0_K)
abramo	(-AA0_)(B R-AA1_)(M-OW0_)
abramovitz	(-AH0_)(B R-AA1_)(M-AH0_)(V-IH0_T S)
abramowicz	(-AH0_)(B R-AA1_)(M-AH0_)(V-IH0_CH)
abramowitz	(-AH0_)(B R-AA1_)(M-AH0_)(W-IH0_T S)
abrams	(-EY1_)(B R-AH0_M Z)
abramson	(-EY1_)(B R-AH0_M)(S-AH0_N)
abrasion	(-AH0_)(B R-EY1_)(ZH-AH0_N)
abrasions	(-AH0_)(B R-EY1_)(ZH-AH0_N Z)
abrasive	(-AH0_)(B R-EY1_)(S-IH0_V)
abrasives	(-AH0_)(B R-EY1_)(S-IH0_V Z)
abreast	(-AH0_)(B R-EH1_S T)
abrego	(-AA0_)(B R-EH1_)(G-OW0_)
abreu	(-AH0_)(B R-UW1_)
abridge	(-AH0_)(B R-IH1_JH)
abridged	(-AH0_)(B R-IH1_JH D)
abril	(-AH0_)(B R-IH1_L)
abroad	(-AH0_)(B R-AO1_D)
abrogate	(-AE1_)(B R-AH0_)(G-EY2_T)
abrogated	(-AE1_)(B R-AH0_)(G-EY2_)(T-IH0_D)
abrogating	(-AE1_)(B R-AH0_)(G-EY2_)(T-IH0_NG)
abrogation	(-AE2_)(B R-AH0_)(G-EY1_)(SH-AH0_N)
abron	(-AH0_)(B R-AA1_N)
abrupt	(-AH0_)(B R-AH1_P T)
abruptly	(-AH0_)(B R-AH1_PT)(L-IY0_)
abruptness	(-AH0_)(B R-AH1_PT)(N-AH0_S)
abrutyn	(-EY1_)(B R-UW0_)(T-IH0_N)
abruzzese	(-AA0_)(B R-UW0_T)(S-EY1_)(Z-IY0_)
abruzzo	(-AA0_)(B R-UW1_)(Z-OW0_)
abs	(-EY1_)(B-IY1_)(-EH1_S)
absalom	(-AE1_B)(S-AH0_)(L-AH0_M)
abscam	(-AE1_B)(S K-AE0_M)
abscess	(-AE1_B)(S-EH2_S)
absence	(-AE1_B)(S-AH0_N S)
absences	(-AE1_B)(S-AH0_N)(S-IH0_Z)
absent	(-AE1_B)(S-AH0_N T)
absentee	(-AE2_B)(S-AH0_N)(T-IY1_)
absenteeism	(-AE2_B)(S-AH0_N)(T-IY1_)(-IH0_)(Z-AH0_M)
absentees	(-AE2_B)(S-AH0_N)(T-IY1_Z)
absentia	(-AE0_B)(S-EH1_N)(SH-AH0_)
absher	(-AE1_B)(SH-ER0_)
abshier	(-AE1_B)(SH-IY0_)(-ER0_)
abshire	(-AE1_B)(SH-AY2_R)
abso	(-AE1_B)(S-OW0_)
absolom	(-AE1_B)(S-AH0_)(L-AH0_M)
absolut	(-AE2_B)(S-AH0_)(L-UW1_T)
absolute	(-AE1_B)(S-AH0_)(L-UW2_T)
absolutely	(-AE2_B)(S-AH0_)(L-UW1_T)(L-IY0_)
absoluteness	(-AE1_B)(S-AH0_)(L-UW2_T)(N-AH0_S)
absolutes	(-AE1_B)(S-AH0_)(L-UW2_T S)
absolution	(-AE2_B)(S-AH0_)(L-UW1_)(SH-AH0_N)
absolutism	(-AE1_B)(S-AH0_)(L-UW2_)(T-IH2_)(Z-AH0_M)
absolutist	(-AE0_B)(S-IH0_)(L-UW1_)(T-IH0_S T)
absolve	(-AH0_B)(Z-AA1_L V)
absolved	(-AH0_B)(Z-AA1_L V D)
absolves	(-AH0_B)(Z-AA1_L V Z)
absolving	(-AH0_B)(Z-AA1_L)(V-IH0_NG)
absorb	(-AH0_B)(Z-AO1_R B)
absorbed	(-AH0_B)(Z-AO1_R B D)
absorbency	(-AH0_B)(Z-AO1_R)(B-AH0_N)(S-IY0_)
absorbent	(-AH0_B)(Z-AO1_R)(B-AH0_N T)
absorber	(-AH0_B)(Z-AO1_R)(B-ER0_)
absorbers	(-AH0_B)(Z-AO1_R)(B-ER0_Z)
absorbing	(-AH0_B)(Z-AO1_R)(B-IH0_NG)
absorbs	(-AH0_B)(Z-AO1_R B Z)
absorption	(-AH0_B)(Z-AO1_RP)(SH-AH0_N)
abstain	(-AH0_B)(S T-EY1_N)
abstained	(-AH0_B)(S T-EY1_N D)
abstaining	(-AH0_B)(S T-EY1_)(N-IH0_NG)
abstention	(-AH0_B)(S T-EH1_N)(CH-AH0_N)
abstentions	(-AH0_B)(S T-EH1_N)(CH-AH0_N Z)
abstinence	(-AE1_B)(S T-AH0_)(N-AH0_N S)
abstinent	(-AE1_B)(S T-AH0_)(N-AH0_N T)
abston	(-AE1_B)(S T-AH0_N)
abstract	(-AE0_B)(S T R-AE1_K T)
abstracted	(-AE1_B)(S T R-AE2_K)(T-IH0_D)
abstraction	(-AE0_B)(S T R-AE1_K)(SH-AH0_N)
abstractions	(-AE0_B)(S T R-AE1_K)(SH-AH0_N Z)
abstracts	(-AE1_B)(S T R-AE0_K T S)
abstruse	(-AH0_B)(S T R-UW1_S)
absurd	(-AH0_B)(S-ER1_D)
absurdist	(-AH0_B)(S-ER1_)(D-IH0_S T)
absurdities	(-AH0_B)(S-ER1_)(D-AH0_)(T-IY0_Z)
absurdity	(-AH0_B)(S-ER1_)(D-AH0_)(T-IY0_)
absurdly	(-AH0_B)(S-ER1_D)(L-IY0_)
abt	(-AE1_B T)
abts	(-AE1_B T S)
abu	(-AE1_)(B-UW0_)
abudrahm	(-AH0_)(B-AH1_)(D R-AH0_M)
abuladze	(-AE2_)(B Y-UW0_)(L-AE1_D)(Z-IY0_)
abundance	(-AH0_)(B-AH1_N)(D-AH0_N S)
abundant	(-AH0_)(B-AH1_N)(D-AH0_N T)
abundantly	(-AH0_)(B-AH1_N)(D-AH0_NT)(L-IY0_)
aburto	(-AH0_)(B-UH1_R)(T-OW2_)
abuse	(-AH0_)(B Y-UW1_S)
abused	(-AH0_)(B Y-UW1_Z D)
abuser	(-AH0_)(B Y-UW1_)(Z-ER0_)
abusers	(-AH0_)(B Y-UW1_)(Z-ER0_Z)
abuses	(-AH0_)(B Y-UW1_)(S-IH0_Z)
abusing	(-AH0_)(B Y-UW1_)(Z-IH0_NG)
abusive	(-AH0_)(B Y-UW1_)(S-IH0_V)
abut	(-AH0_)(B-AH1_T)
abuts	(-AH0_)(B-AH1_T S)
abutted	(-AH0_)(B-AH1_)(T-AH0_D)
abutting	(-AH0_)(B-AH1_)(T-IH0_NG)
abuzz	(-AH0_)(B-AH1_Z)
abysmal	(-AH0_)(B-IH1_Z)(M-AH0_L)
abysmally	(-AH0_)(B-IH1_Z)(M-AH0_)(L-IY0_)
abyss	(-AH0_)(B-IH1_S)
abzug	(-AE1_B)(Z-AH2_G)
ac	(-EY1_)(S-IY1_)
aca	(-AE1_)(K-AH0_)
acacia	(-AH0_)(K-EY1_)(SH-AH0_)
academe	(-AE1_)(K-AH0_)(D-IY2_M)
academia	(-AE2_)(K-AH0_)(D-IY1_)(M-IY0_)(-AH0_)
academic	(-AE2_)(K-AH0_)(D-EH1_)(M-IH0_K)
academically	(-AE2_)(K-AH0_)(D-EH1_)(M-IH0_)(K L-IY0_)
academician	(-AE2_)(K-AH0_)(D-AH0_)(M-IH1_)(SH-AH0_N)
academicians	(-AE2_)(K-AH0_)(D-AH0_)(M-IH1_)(SH-AH0_N Z)
academics	(-AE2_)(K-AH0_)(D-EH1_)(M-IH0_K S)
academies	(-AH0_)(K-AE1_)(D-AH0_)(M-IY0_Z)
academy	(-AH0_)(K-AE1_)(D-AH0_)(M-IY0_)
acadia	(-AH0_)(K-EY1_)(D-IY0_)(-AH0_)
acampora	(-AH0_)(K-AE1_M)(P-ER0_)(-AH0_)
acantha	(-AA0_)(K-AA1_N)(DH-AH0_)
acapulco	(-AE2_)(K-AH0_)(P-UH1_L)(K-OW0_)
accardi	(-AA0_)(K-AA1_R)(D-IY0_)
accardo	(-AA0_)(K-AA1_R)(D-OW0_)
accede	(-AE0_K)(S-IY1_D)
acceded	(-AE0_K)(S-IY1_)(D-IH0_D)
accedes	(-AE0_K)(S-IY1_D Z)
acceding	(-AE0_K)(S-IY1_)(D-IH0_NG)
accel	(-AH0_K)(S-EH1_L)
accelerant	(-AE0_K)(S-EH1_)(L-ER0_)(-AH0_N T)
accelerants	(-AE0_K)(S-EH1_)(L-ER0_)(-AH0_N T S)
accelerate	(-AE0_K)(S-EH1_)(L-ER0_)(-EY2_T)
accelerated	(-AE0_K)(S-EH1_)(L-ER0_)(-EY2_)(T-IH0_D)
accelerates	(-AE0_K)(S-EH1_)(L-ER0_)(-EY2_T S)
accelerating	(-AE0_K)(S-EH1_)(L-ER0_)(-EY2_)(T-IH0_NG)
acceleration	(-AE2_K)(S-EH2_)(L-ER0_)(-EY1_)(SH-AH0_N)
accelerator	(-AE0_K)(S-EH1_)(L-ER0_)(-EY2_)(T-ER0_)
accelerometer	(-AE0_K)(S-EH2_)(L-ER0_)(-AA1_)(M-AH0_)(T-ER0_)
accelerometers	(-AE0_K)(S-EH2_)(L-ER0_)(-AA1_)(M-AH0_)(T-ER0_Z)
accent	(-AH0_K)(S-EH1_N T)
accented	(-AE1_K)(S-EH0_N)(T-IH0_D)
accenting	(-AE1_K)(S-EH0_N)(T-IH0_NG)
accents	(-AE1_K)(S-EH0_N T S)
accentuate	(-AE0_K)(S-EH1_N)(CH-UW0_)(-EY0_T)
accentuated	(-AE0_K)(S-EH1_N)(CH-AH0_)(W-EY2_)(T-IH0_D)
accentuates	(-AE0_K)(S-EH1_N)(CH-UW0_)(-EY0_T S)
accentuating	(-AE0_K)(S-EH1_N)(CH-AH0_)(W-EY2_)(T-IH0_NG)
accept	(-AE0_K)(S-EH1_P T)
acceptability	(-AH0_K)(S-EH2_P)(T-AH0_)(B-IH1_)(L-AH0_)(T-IY0_)
acceptable	(-AE0_K)(S-EH1_P)(T-AH0_)(B-AH0_L)
acceptance	(-AE0_K)(S-EH1_P)(T-AH0_N S)
acceptances	(-AE0_K)(S-EH1_P)(T-AH0_N)(S-IH0_Z)
accepted	(-AE0_K)(S-EH1_P)(T-IH0_D)
accepting	(-AE0_K)(S-EH1_P)(T-IH0_NG)
accepts	(-AE0_K)(S-EH1_P T S)
access	(-AE1_K)(S-EH2_S)
accessed	(-AE1_K)(S-EH2_S T)
accessibility	(-AE2_K)(S-EH0_)(S-AH0_)(B-IH1_)(L-IH0_)(T-IY0_)
accessible	(-AE0_K)(S-EH1_)(S-AH0_)(B-AH0_L)
accessing	(-AE1_K)(S-EH2_)(S-IH0_NG)
accession	(-AH0_K)(S-EH1_)(SH-AH0_N)
accessories	(-AE0_K)(S-EH1_)(S-ER0_)(-IY0_Z)
accessorize	(-AE0_K)(S-EH1_)(S-ER0_)(-AY2_Z)
accessorized	(-AE0_K)(S-EH1_)(S-ER0_)(-AY2_Z D)
accessory	(-AE0_K)(S-EH1_)(S-ER0_)(-IY0_)
accetta	(-AA0_)(CH-EH1_)(T-AH0_)
accident	(-AE1_K)(S-AH0_)(D-AH0_N T)
accidental	(-AE2_K)(S-AH0_)(D-EH1_N)(T-AH0_L)
accidentally	(-AE2_K)(S-AH0_)(D-EH1_N)(T-AH0_)(L-IY0_)
accidently	(-AE1_K)(S-AH0_)(D-AH0_NT)(L-IY0_)
accidents	(-AE1_K)(S-AH0_)(D-AH0_N T S)
accion	(-AE1_)(CH-IY0_)(-AH0_N)
accival	(-AE1_)(S-IH0_)(V-AA2_L)
acclaim	(-AH0_)(K L-EY1_M)
acclaimed	(-AH0_)(K L-EY1_M D)
acclaiming	(-AH0_)(K L-EY1_)(M-IH0_NG)
acclimate	(-AE1_)(K L-AH0_)(M-EY2_T)
acclimated	(-AE1_)(K L-AH0_)(M-EY2_)(T-IH0_D)
acclimation	(-AE2_)(K L-AH0_)(M-EY1_)(SH-AH0_N)
acco	(-AE1_)(K-OW0_)
accola	(-AA0_)(K-OW1_)(L-AH0_)
accolade	(-AE1_)(K-AH0_)(L-EY2_D)
accolades	(-AE1_)(K-AH0_)(L-EY2_D Z)
accomando	(-AA0_)(K-OW0_)(M-AA1_N)(D-OW0_)
accommodate	(-AH0_)(K-AA1_)(M-AH0_)(D-EY2_T)
accommodated	(-AH0_)(K-AA1_)(M-AH0_)(D-EY2_)(T-AH0_D)
accommodates	(-AH0_)(K-AA1_)(M-AH0_)(D-EY2_T S)
accommodating	(-AH0_)(K-AA1_)(M-AH0_)(D-EY2_)(T-IH0_NG)
accommodation	(-AH0_)(K-AA2_)(M-AH0_)(D-EY1_)(SH-AH0_N)
accommodations	(-AH0_)(K-AA2_)(M-AH0_)(D-EY1_)(SH-AH0_N Z)
accommodative	(-AH0_)(K-AA1_)(M-AH0_)(D-EY2_)(T-IH0_V)
accompanied	(-AH0_)(K-AH1_M)(P-AH0_)(N-IY0_D)
accompanies	(-AH0_)(K-AH1_M)(P-AH0_)(N-IY0_Z)
accompaniment	(-AH0_)(K-AH1_MP)(N-IH0_)(M-AH0_N T)
accompaniments	(-AH0_)(K-AH1_MP)(N-IH0_)(M-AH0_N T S)
accompanist	(-AH0_)(K-AH1_M)(P-AH0_)(N-AH0_S T)
accompany	(-AH0_)(K-AH1_M)(P-AH0_)(N-IY0_)
accompanying	(-AH0_)(K-AH1_M)(P-AH0_)(N-IY0_)(-IH0_NG)
accompli	(-AA2_)(K-AA1_M)(P L-IY0_)
accomplice	(-AH0_)(K-AA1_M)(P L-AH0_S)
accomplices	(-AH0_)(K-AA1_M)(P L-AH0_)(S-AH0_Z)
accomplish	(-AH0_)(K-AA1_M)(P L-IH0_SH)
accomplished	(-AH0_)(K-AA1_M)(P L-IH0_SH T)
accomplishes	(-AH0_)(K-AA1_M)(P L-IH0_)(SH-IH0_Z)
accomplishing	(-AH0_)(K-AA1_M)(P L-IH0_)(SH-IH0_NG)
accomplishment	(-AH0_)(K-AA1_M)(P L-IH0_SH)(M-AH0_N T)
accomplishments	(-AH0_)(K-AA1_M)(P L-IH0_SH)(M-AH0_N T S)
accor	(-AE1_)(K-AO2_R)
accord	(-AH0_)(K-AO1_R D)
accordance	(-AH0_)(K-AO1_R)(D-AH0_N S)
accorded	(-AH0_)(K-AO1_R)(D-IH0_D)
according	(-AH0_)(K-AO1_R)(D-IH0_NG)
accordingly	(-AH0_)(K-AO1_R)(D-IH0_N)(G L-IY0_)
accordion	(-AH0_)(K-AO1_R)(D-IY0_)(-AH0_N)
accordions	(-AH0_)(K-AO1_R)(D-IY0_)(-AH0_N Z)
accords	(-AH0_)(K-AO1_R D Z)
